algorithm,FOV,noise,epsilon,scene,userIdx,psnr_mean,psnr_lb,psnr_ub,ssim_mean,ssim_lb,ssim_ub,vmaf_mean,vmaf_lb,vmaf_ub
Disturber,115,1,200.0,City,0,26.245306607999968,26.209013256572778,26.281599959427158,0.854723802,0.8532442568690931,0.8562033471309068,65.27744058,64.70856986437734,65.84631129562267
Disturber,115,1,200.0,City,1,26.60043071400001,26.488825583186607,26.71203584481341,0.8640424679999998,0.8602322564253118,0.8678526795746879,58.51039452399998,57.51129669526931,59.509492352730646
Disturber,115,1,200.0,City,2,26.07934671399998,25.98383783011334,26.174855597886616,0.8430283119999991,0.8393572364534508,0.8466993875465473,61.13576781000004,60.25798738665246,62.01354823334762
Disturber,115,1,200.0,City,3,25.849524509999956,25.741975289304204,25.957073730695708,0.832081536,0.827725058429114,0.836438013570886,52.63840530799996,51.371737586720016,53.905073029279905
Disturber,115,1,200.0,City,4,26.87611091999999,26.824506597085506,26.927715242914477,0.8765078239999997,0.8744390861349444,0.8785765618650551,65.38757012199997,64.5741831622681,66.20095708173184
Disturber,115,1,200.0,City,5,26.276945536000007,26.245986128001995,26.307904943998018,0.8566991019999993,0.8552745200633771,0.8581236839366215,60.38199643999999,59.749076753258784,61.01491612674119
Disturber,115,1,200.0,Gallery,0,17.916225332,17.784129137979257,18.048321526020743,0.38349084400000005,0.3713242935642602,0.3956573944357399,11.288240562000015,10.695252902437229,11.8812282215628
Disturber,115,1,200.0,Gallery,1,18.84870683599999,18.71732536429104,18.980088307708943,0.4214837959999996,0.41045229539776745,0.4325152966022317,11.74410754599999,11.165807544327471,12.322407547672508
Disturber,115,1,200.0,Gallery,2,20.218421088000003,20.10066742416584,20.336174751834164,0.6100651700000006,0.5981264910753926,0.6220038489246086,13.621441697999995,12.769663513746528,14.473219882253462
Disturber,115,1,200.0,Gallery,3,19.155301816,19.003451270904286,19.307152361095717,0.46510892600000014,0.45478211866571194,0.47543573333428835,13.948453551999982,13.109471247376591,14.787435856623373
Disturber,115,1,200.0,Gallery,4,20.157549173999985,20.00292009047505,20.31217825752492,0.5739373600000001,0.5609095148382087,0.5869652051617914,14.486752326000001,13.507756277786799,15.465748374213204
Disturber,115,1,200.0,Gallery,5,19.87732731599999,19.686437959464563,20.06821667253542,0.49912058000000065,0.48552402409052275,0.5127171359094785,15.07708796999999,14.386775194134172,15.767400745865809
Disturber,115,1,200.0,Nature,0,20.099678207999986,19.964506999637464,20.234849416362508,0.4662091239999997,0.45650187225940775,0.47591637574059165,11.186362858000011,10.626881111486693,11.74584460451333
Disturber,115,1,200.0,Nature,1,19.78014432000001,19.700091680854996,19.86019695914502,0.4587732960000002,0.4509625839449945,0.46658400805500594,12.042028031999997,11.563447646169486,12.520608417830509
Disturber,115,1,200.0,Nature,2,20.374874247999987,20.266019837579478,20.483728658420496,0.4589628440000003,0.45103798448033183,0.4668877035196688,12.266313312000007,11.79333687057206,12.739289753427952
Disturber,115,1,200.0,Nature,3,17.89961518,17.730963131405822,18.06826722859418,0.34366935599999987,0.336485262783914,0.35085344921608574,9.495007088000007,9.126875734378169,9.863138441621844
Disturber,115,1,200.0,Nature,4,19.562289961999994,19.490400339770172,19.634179584229816,0.40208729400000015,0.397880110907977,0.4062944770920233,9.927694397999995,9.615987592472056,10.239401203527933
Disturber,115,1,200.0,Nature,5,20.532538553999988,20.43415470843314,20.630922399566835,0.4488070400000003,0.4411975227170733,0.45641655728292735,11.189711800000003,10.778238823647305,11.601184776352701
Disturber,115,1,200.0,Office,0,18.341388925999997,18.250364019541337,18.432413832458657,0.3396436760000002,0.3327036444379513,0.34658370756204915,9.687845982000004,9.33805476610559,10.03763719789442
Disturber,115,1,200.0,Office,1,18.881877600000003,18.744359309071186,19.01939589092882,0.3561941959999995,0.3479561763819155,0.36443221561808353,10.164482590000002,9.82414141830599,10.504823761694015
Disturber,115,1,200.0,Office,2,22.095085383999994,21.940829911396655,22.249340856603332,0.6054643880000001,0.5961628656921917,0.6147659103078086,10.140843563999999,9.267557443242733,11.014129684757265
Disturber,115,1,200.0,Office,3,19.826145361999973,19.717819117872995,19.93447160612695,0.42955695,0.4214591577148811,0.43765474228511886,10.108342991999997,9.695324363284525,10.521361620715469
Disturber,115,1,200.0,Office,4,21.59194671200002,21.429086537026546,21.754806886973494,0.5483164380000001,0.5377275686825694,0.5589053073174307,14.005863701999996,13.317195285040968,14.694532118959023
Disturber,115,1,200.0,Office,5,21.061994964,20.980653976297354,21.143335951702646,0.4764949860000001,0.46982153040722646,0.4831684415927738,9.731779034000006,9.280145026581234,10.183413041418778
Disturber,115,2,100.0,City,0,25.97584528199999,25.93813941712789,26.013551146872093,0.8441493239999991,0.8425512327056809,0.8457474152943173,59.747566572000025,58.9898727470035,60.50526039699655
Disturber,115,2,100.0,City,1,26.42112374800001,26.310671191455455,26.531576304544565,0.8578995920000001,0.854071853577841,0.8617273304221592,55.42332427999993,54.453438886744536,56.39320967325533
Disturber,115,2,100.0,City,2,25.763415275999993,25.676468347042224,25.85036220495776,0.8293321760000002,0.8255672611273469,0.8330970908726535,55.111139106000024,54.192311754497744,56.029966457502304
Disturber,115,2,100.0,City,3,25.61783244800002,25.523493354505288,25.71217154149475,0.8231437620000002,0.8190876981014461,0.8271998258985542,48.55537778799997,47.44466098536215,49.6660945906378
Disturber,115,2,100.0,City,4,26.549702128000003,26.491018105354208,26.6083861506458,0.8641271739999997,0.8619625451785582,0.8662918028214412,59.56977870599997,58.6795436039114,60.46001380808855
Disturber,115,2,100.0,City,5,25.865858812,25.823890603461734,25.907827020538264,0.8418241099999998,0.8401749422382981,0.8434732777617014,52.83657921199998,52.07784028455226,53.595318139447706
Disturber,115,2,100.0,Gallery,0,17.649107127999997,17.544356798515555,17.75385745748444,0.353411136,0.34443972953295815,0.3623825424670419,10.029402704000006,9.53102624810587,10.527779159894141
Disturber,115,2,100.0,Gallery,1,18.557695796000036,18.442105191747455,18.673286400252618,0.394584962,0.38556472370781003,0.40360520029218994,10.751685086,10.264172874342764,11.239197297657237
Disturber,115,2,100.0,Gallery,2,19.044377379999993,18.933082511408145,19.15567224859184,0.47848209800000036,0.46646031160013113,0.4905038843998696,9.465174604000001,8.869719010125417,10.060630197874586
Disturber,115,2,100.0,Gallery,3,18.891193324000007,18.76322637122742,19.019160276772592,0.439387442,0.4303372295533267,0.44843765444667333,12.71489348,12.115104986944049,13.314681973055952
Disturber,115,2,100.0,Gallery,4,19.286364292,19.15034168485477,19.422386899145227,0.4921389900000003,0.4803143997272701,0.5039635802727305,11.265810076000001,10.628201433230785,11.903418718769217
Disturber,115,2,100.0,Gallery,5,19.50578466800001,19.330897246059628,19.680672089940394,0.4648299000000002,0.452340879838646,0.47731892016135435,13.00006350399999,12.36283055375943,13.637296454240548
Disturber,115,2,100.0,Nature,0,19.77443842400001,19.66036060008032,19.8885162479197,0.43084471000000013,0.42368533349810045,0.4380040865018998,10.443681234000016,10.027198230920831,10.8601642370792
Disturber,115,2,100.0,Nature,1,19.498897374000002,19.42199182783486,19.575802920165145,0.4286359699999998,0.42266301231683606,0.43460892768316356,11.064455274,10.648096151400983,11.480814396599017
Disturber,115,2,100.0,Nature,2,20.052684304,19.95724786886901,20.148120739130988,0.4305301459999996,0.4247767822685723,0.43628350973142693,10.974725840000001,10.59184165458561,11.357610025414393
Disturber,115,2,100.0,Nature,3,17.705199544,17.54529767329911,17.865101414700888,0.3300433859999999,0.32498874705560965,0.3350980249443901,8.880224469999996,8.594966745618361,9.165482194381632
Disturber,115,2,100.0,Nature,4,19.48248507400001,19.40722687319571,19.55774327480431,0.3966842799999998,0.39343711068962883,0.3999314493103707,9.756911522000006,9.437667646938474,10.07615539706154
Disturber,115,2,100.0,Nature,5,20.271003514000004,20.183591410431372,20.358415617568635,0.4231166879999998,0.41739869341725544,0.42883468258274415,10.565158919999995,10.178639645561422,10.951678194438568
Disturber,115,2,100.0,Office,0,18.232025346000004,18.143434862325726,18.32061582967428,0.32650149600000017,0.3197846095500359,0.33321838244996443,9.370630656000008,9.0774548475167,9.663806464483317
Disturber,115,2,100.0,Office,1,18.765023395999997,18.639165015152503,18.89088177684749,0.33951723600000033,0.33241602951746396,0.3466184424825367,9.701340767999998,9.378282184485967,10.02439935151403
Disturber,115,2,100.0,Office,2,21.514712028,21.387542436944813,21.64188161905519,0.5644061160000006,0.5549851852753201,0.573827046724681,8.50912106,7.92290464707155,9.095337472928449
Disturber,115,2,100.0,Office,3,19.637364409999975,19.533380705929375,19.741348114070576,0.40871736000000025,0.4007734652123595,0.416661254787641,9.33522664799999,8.943103136383872,9.727350159616108
Disturber,115,2,100.0,Office,4,21.093596267999978,20.94637094254295,21.240821593457007,0.4981097220000001,0.4880206598219662,0.508198784178034,12.431947876000002,11.779327228854426,13.08456852314558
Disturber,115,2,100.0,Office,5,20.939099874000014,20.848156754518847,21.03004299348118,0.4660954599999996,0.4586384268144314,0.47355249318556775,9.142541643999998,8.700975931947278,9.584107356052717
Disturber,115,4,50.0,City,0,25.467105734000032,25.41657707981529,25.517634388184774,0.8218632099999995,0.8193906657840789,0.8243357542159201,48.977611857999996,47.97105009100942,49.984173624990575
Disturber,115,4,50.0,City,1,26.026059483999994,25.912749666517996,26.13936930148199,0.8429555019999996,0.8387701230758567,0.8471408809241424,48.69470261200003,47.65524478527431,49.734160438725745
Disturber,115,4,50.0,City,2,25.234814391999986,25.149893964698283,25.31973481930169,0.8049671740000006,0.800730455640658,0.8092038923593432,45.20029264400003,44.21249571230854,46.18808957569152
Disturber,115,4,50.0,City,3,25.261164216000005,25.175797453130155,25.346530978869854,0.807528984000001,0.8034213749625589,0.811636593037443,42.50300496200002,41.43765556427621,43.56835435972383
Disturber,115,4,50.0,City,4,25.929027644000023,25.858111634400363,25.999943653599683,0.8406326539999999,0.8380521408562014,0.8432131671437983,49.02189950400002,48.05050368226088,49.993295325739155
Disturber,115,4,50.0,City,5,25.40158742399999,25.34179778427917,25.461377063720814,0.8253456359999993,0.8229903691006124,0.8277009028993862,45.566257686000036,44.592422895969996,46.540092476030075
Disturber,115,4,50.0,Gallery,0,17.315038351999995,17.22774387703823,17.40233282696176,0.3225544899999998,0.31652736103609774,0.32858161896390187,9.321149756,8.86722874965233,9.77507076234767
Disturber,115,4,50.0,Gallery,1,18.01587629600001,17.926706134596557,18.10504645740346,0.3541444460000003,0.3481730286324109,0.36011586336758966,9.641752145999996,9.245505359642785,10.037998932357208
Disturber,115,4,50.0,Gallery,2,17.959372152000004,17.850551457801522,18.068192846198485,0.3683370760000005,0.35799031982464513,0.37868383217535584,7.867971155999995,7.362890305271476,8.373052006728514
Disturber,115,4,50.0,Gallery,3,18.080529562000002,17.963503546565182,18.197555577434823,0.37545270199999975,0.36781245043838,0.3830929535616195,10.548338653999997,9.974850543505939,11.121826764494054
Disturber,115,4,50.0,Gallery,4,18.185595684,18.067866263409325,18.303325104590673,0.387584008,0.37740889528925975,0.3977591207107402,8.272067119999997,7.794221674758401,8.749912565241594
Disturber,115,4,50.0,Gallery,5,18.386525562000013,18.262441461325036,18.51060966267499,0.3848338580000002,0.37715852701691516,0.39250918898308523,10.172549831999993,9.740466909372804,10.60463275462718
Disturber,115,4,50.0,Nature,0,19.17621043,19.074469400541684,19.27795145945832,0.3893720459999998,0.3849466904947696,0.39379740150523,9.265711571999995,8.944710865070563,9.586712278929427
Disturber,115,4,50.0,Nature,1,18.985267232,18.9010269721487,19.069507491851304,0.39061764800000026,0.38547192324662444,0.3957633727533761,10.132648086,9.741267269614415,10.524028902385584
Disturber,115,4,50.0,Nature,2,19.502950330000004,19.40720736326462,19.598693296735387,0.39643170399999994,0.3919326829482029,0.400930725051797,10.009179084000007,9.668322731108633,10.35003543689138
Disturber,115,4,50.0,Nature,3,17.477894100000004,17.33561137093278,17.620176829067226,0.3159145199999999,0.3124641841567572,0.31936485584324265,8.522384125999997,8.255444918320675,8.789323333679318
Disturber,115,4,50.0,Nature,4,19.114763389999986,19.02994092338972,19.199585856610252,0.3782712959999999,0.37521012863732905,0.3813324633626708,8.898231986000003,8.60152083686055,9.194943135139455
Disturber,115,4,50.0,Nature,5,19.665018236000012,19.5838857528361,19.746150719163925,0.38729435000000006,0.3834603743428443,0.39112832565715583,9.473880293999992,9.189176812920797,9.758583775079186
Disturber,115,4,50.0,Office,0,18.064297711999988,17.979359505872235,18.14923591812774,0.30665672599999994,0.30083237300195775,0.3124810789980421,8.634603531999998,8.420524769484238,8.848682294515758
Disturber,115,4,50.0,Office,1,18.71697425000001,18.590433575137933,18.843514924862088,0.3326468800000002,0.32481253233633695,0.34048122766366345,9.341750110000005,8.982977856328224,9.700522363671785
Disturber,115,4,50.0,Office,2,20.278106370000017,20.177349460017624,20.37886327998241,0.4640191140000002,0.4561000938376258,0.47193813416237457,5.942401453999995,5.587946124812569,6.296856783187422
Disturber,115,4,50.0,Office,3,19.207192643999996,19.10904030518572,19.305344982814272,0.37412038799999975,0.3671794085630305,0.381061367436969,8.478162183999993,8.14103485126892,8.815289516731067
Disturber,115,4,50.0,Office,4,20.293552119999998,20.17171090847498,20.415393331525014,0.4249720940000001,0.4161005580591022,0.433843629940898,10.229811504000004,9.712929524262421,10.746693483737587
Disturber,115,4,50.0,Office,5,20.438650939999985,20.33822222781286,20.53907965218711,0.428701354,0.42132237050584087,0.4360803374941591,7.841968433999999,7.4585094357163575,8.22542743228364
Disturber,115,6,33.333333333333336,City,0,25.14811855200002,25.09483497088976,25.20140213311028,0.8072656879999994,0.8043555320231719,0.810175843976827,42.84605222799997,41.78210693074983,43.909997525250105
Disturber,115,6,33.333333333333336,City,1,25.731601435999995,25.619127631027645,25.844075240972344,0.8315064140000005,0.8271345933247614,0.8358782346752396,43.648080932,42.558237173074815,44.73792469092518
Disturber,115,6,33.333333333333336,City,2,24.879411130000012,24.796663378001092,24.96215888199893,0.7870286159999998,0.7827225377142919,0.7913346942857078,39.343289522,38.34229441922931,40.34428462477069
Disturber,115,6,33.333333333333336,City,3,24.953799236,24.871142736521623,25.036455735478373,0.792558252,0.7881183597943804,0.7969981442056195,36.88601598799999,35.89467107365407,37.87736090234591
Disturber,115,6,33.333333333333336,City,4,25.40309881000002,25.32495099884299,25.48124662115705,0.8193070200000007,0.8161241134316946,0.8224899265683068,41.627442143999986,40.60755940466661,42.64732488333336
Disturber,115,6,33.333333333333336,City,5,24.923827023999994,24.8617297682239,24.98592427977609,0.8069395440000012,0.804380499784752,0.8094985882152504,37.59355530800001,36.6323451313338,38.55476548466623
Disturber,115,6,33.333333333333336,Gallery,0,16.953408495999998,16.866346541669348,17.04047045033065,0.3023058579999999,0.2971687929406486,0.3074429230593513,8.901603025999993,8.514102307929031,9.289103744070955
Disturber,115,6,33.333333333333336,Gallery,1,17.729601584000008,17.622015346697907,17.83718782130211,0.3360867199999997,0.3297044389544424,0.34246900104555694,9.16041937800001,8.726293978186112,9.594544777813907
Disturber,115,6,33.333333333333336,Gallery,2,17.245488521999984,17.15031816324423,17.34065888075574,0.311828896,0.303800538571572,0.319857253428428,7.103824181999999,6.771552936768089,7.43609542723191
Disturber,115,6,33.333333333333336,Gallery,3,17.60060149999999,17.483676473276486,17.717526526723493,0.34487589199999985,0.3381531949611118,0.3515985890388879,9.802699766000014,9.30471590223753,10.300683629762498
Disturber,115,6,33.333333333333336,Gallery,4,17.504408859999984,17.39113632936393,17.617681390636037,0.33867464200000014,0.3306555820980413,0.346693701901959,7.4203466700000025,7.028605044012391,7.812088295987614
Disturber,115,6,33.333333333333336,Gallery,5,18.027910964000007,17.905894894368334,18.14992703363168,0.3615811940000002,0.3539791171034504,0.36918327089655,9.668428726000007,9.252123634249042,10.084733817750973
Disturber,115,6,33.333333333333336,Nature,0,18.664992047999984,18.555582129405877,18.77440196659409,0.36970468399999984,0.3655737026048876,0.3738356653951121,8.725085637999998,8.425941928540905,9.024229347459091
Disturber,115,6,33.333333333333336,Nature,1,18.514680788000017,18.427201713999615,18.60215986200042,0.3684933639999999,0.36441806055301895,0.3725686674469808,9.465756525999996,9.115876591708851,9.815636460291142
Disturber,115,6,33.333333333333336,Nature,2,19.10753720199999,19.004792184239868,19.21028221976011,0.37907797400000065,0.37434100214489463,0.38381494585510667,9.443955002000012,9.09196770196422,9.795942302035803
Disturber,115,6,33.333333333333336,Nature,3,17.386630228000005,17.249779735519123,17.523480720480887,0.3125860800000001,0.30928976368455185,0.31588239631544834,8.343571105999995,8.08571175883788,8.601430453162111
Disturber,115,6,33.333333333333336,Nature,4,18.67354924400002,18.579939929517035,18.767158558483008,0.36261351200000014,0.35926037623926976,0.3659666477607305,8.518991470000005,8.220272249215796,8.817710690784214
Disturber,115,6,33.333333333333336,Nature,5,19.282876923999993,19.19550825536987,19.370245592630116,0.37214770400000025,0.36832777994637006,0.37596762805363043,9.002777402000005,8.742829523000445,9.262725280999565
Disturber,115,6,33.333333333333336,Office,0,17.74272349199999,17.659601862439363,17.825845121560615,0.282157942,0.27676608495405075,0.28754979904594924,8.437256972000002,8.22695967942596,8.647554264574044
Disturber,115,6,33.333333333333336,Office,1,18.43757619,18.330652515471932,18.54449986452807,0.3134386060000001,0.30743609758003965,0.3194411144199606,8.692659108000012,8.37054675148992,9.014771464510103
Disturber,115,6,33.333333333333336,Office,2,19.823231901999964,19.713977800682912,19.932486003317017,0.42572362200000047,0.4179384736758399,0.433508770324161,5.260656146000002,4.9493348341116175,5.571977457888387
Disturber,115,6,33.333333333333336,Office,3,18.918277773999986,18.824379105566862,19.01217644243311,0.34602096800000015,0.33971813591153727,0.35232380008846303,8.106529588,7.766989265208242,8.44606991079176
Disturber,115,6,33.333333333333336,Office,4,19.82316648,19.704527151660958,19.941805808339044,0.38848781000000004,0.3799969314812454,0.3969786885187547,9.504506636,9.090425079340607,9.918588192659394
Disturber,115,6,33.333333333333336,Office,5,20.07534618000002,19.971960571715293,20.17873178828475,0.40457072200000044,0.39775001476433347,0.4113914292356674,7.50027088000001,7.083652337843705,7.9168894221563155
Disturber,115,10,20.0,City,0,24.492633957999992,24.424895124117082,24.5603727918829,0.7692525460000004,0.7650719624266761,0.7734331295733247,31.634596364,30.50009223382676,32.769100494173244
Disturber,115,10,20.0,City,1,25.094609462000015,24.980029061100844,25.209189862899187,0.8039935479999993,0.7989453317470421,0.8090417642529566,34.81143351799999,33.68484548739603,35.93802154860394
Disturber,115,10,20.0,City,2,24.421169704,24.328745452982414,24.513593955017587,0.7586197480000005,0.7530782809450499,0.7641612150549512,31.424236008000015,30.292145354428172,32.55632666157186
Disturber,115,10,20.0,City,3,24.55793650199999,24.473783847941856,24.642089156058123,0.7716480499999999,0.7669057748550588,0.776390325144941,30.337504594000027,29.287907762303146,31.38710142569691
Disturber,115,10,20.0,City,4,24.912165417999997,24.828509246273697,24.995821589726297,0.795742414,0.791993712624826,0.799491115375174,33.689918416,32.58533397431478,34.79450285768522
Disturber,115,10,20.0,City,5,24.34178995000001,24.271329370871292,24.412250529128727,0.7833022720000004,0.7802371725417726,0.7863673714582281,28.984450104000008,27.977583094544933,29.991317113455082
Disturber,115,10,20.0,Gallery,0,16.457112391999996,16.36747639016775,16.546748393832242,0.27862752200000007,0.2746042389213812,0.28265080507861895,8.730886871999997,8.35442950117836,9.107344242821634
Disturber,115,10,20.0,Gallery,1,17.083882639999988,16.984391287165483,17.183373992834493,0.30933956999999984,0.3042462909560695,0.3144328490439302,8.483464768000006,8.122029959673863,8.84489957632615
Disturber,115,10,20.0,Gallery,2,16.515157890000005,16.421047520679096,16.609268259320913,0.2660823519999999,0.2601704393175168,0.271994264682483,6.828775655999989,6.460685474775598,7.1968658372243794
Disturber,115,10,20.0,Gallery,3,16.84679224400002,16.739613333843767,16.953971154156275,0.3095814460000001,0.30405923235024035,0.31510365964975984,8.762396891999995,8.337641463332046,9.187152320667943
Disturber,115,10,20.0,Gallery,4,16.715362146000018,16.620044491110097,16.81067980088994,0.2934649840000001,0.28816902970494473,0.29876093829505546,6.844570547999991,6.550512498241655,7.138628597758327
Disturber,115,10,20.0,Gallery,5,17.3447286,17.2246342025262,17.4648229974738,0.3279290859999994,0.32197210466988213,0.3338860673301167,8.686117351999993,8.302662832904298,9.069571871095688
Disturber,115,10,20.0,Nature,0,17.979893962000006,17.857173831640242,18.10261409235977,0.3490581739999998,0.34553721286674155,0.352579135133258,8.047608883999995,7.770016027412941,8.32520174058705
Disturber,115,10,20.0,Nature,1,17.76709084399998,17.66426373021901,17.869917957780952,0.3416484160000005,0.33794738874418856,0.34534944325581246,8.707744130000005,8.369813096860868,9.045675163139142
Disturber,115,10,20.0,Nature,2,18.346847576000012,18.233681394460625,18.4600137575394,0.3531020440000001,0.3494201755995051,0.3567839124004951,8.655587636000003,8.35166206068556,8.959513211314446
Disturber,115,10,20.0,Nature,3,16.911942904000004,16.777306868368473,17.046578939631534,0.2990755259999999,0.29625010195540746,0.3019009500445924,8.03294271,7.789447477597461,8.27643794240254
Disturber,115,10,20.0,Nature,4,18.084108498,17.976280551871184,18.191936444128814,0.34522550000000013,0.3421808024414146,0.3482701975585857,7.907748831999999,7.634592280635457,8.180905383364541
Disturber,115,10,20.0,Nature,5,18.620657749999992,18.51727617783339,18.724039322166593,0.35039343599999995,0.34699802769481203,0.35378884430518787,8.324011422000009,8.06046287334196,8.587559970658058
